100011309,1107773065
100011309,1.34E+18
100011309,174174847
100011309,2355219416
100011309,2506174975
100011309,636089833
100011309,7.10E+17
100136358,119972954
100136358,162436508
100136358,17794636
100136358,179255183
100136358,18052474
100136358,232869373
100136358,278901890
100136358,32238490
100136358,78417631
100250921,161163311
100250921,233484761
100250921,38021361
100250921,38445467
100250921,70424767
100250921,71627462
100250921,8.65E+17
1.00E+18,14247236
1.00E+18,19084896
1.00E+18,27493883
1.00E+18,4091551984
1.00E+18,548384458
1.00E+18,7.86E+17
1.00E+18,1.11E+18
1.00E+18,1.21E+18
1.00E+18,1.34E+18
1.00E+18,2391589446
1.00E+18,2791666390
1.00E+18,3292597556
1.00E+18,7.98E+17
1.00E+18,9.39E+17
1.00E+18,2332044398
1.00E+18,452281360
1.00E+18,1.13E+18
1.00E+18,1.19E+18
1.01E+18,23755062
1.01E+18,294729093
1.01E+18,729704556
1.01E+18,846104587
1.01E+18,1045110787
1.01E+18,1.24E+18
1.01E+18,19084896
1.01E+18,255812611
1.01E+18,29501253
1.01E+18,4091551984
1.01E+18,548384458
1.01E+18,7.38E+17
1.01E+18,7.86E+17
1.01E+18,942156122
10069612,1.13E+18
10069612,14695985
10069612,18191927
10069612,62343633
1.01E+18,1045110787
1.01E+18,1.24E+18
1.01E+18,15740776
1.01E+18,15978244
1.01E+18,18733002
1.01E+18,21295042
1.01E+18,2421067430
1.01E+18,3185520522
1.01E+18,36807657
1.01E+18,2179233702
1.01E+18,29903031
101005636,15575800
101005636,15727562
101005636,2861155989
101005636,2869858477
101005636,322826756
101005636,7.67E+17
101005636,9.08E+17
101084919,128990079
101084919,129838205
101084919,24720234
101084919,26834195
101084919,28220305
101084919,29861904
101084919,30274144
101084919,7.16E+17
1.01E+18,2355984187
1.01E+18,429485301
1011645140,1.34E+18
1011645140,148868920
1011645140,15346740
1011645140,17716548
1011645140,33989630
1011645140,372347731
1011645140,64029662
1011645140,976542720
1011645140,9.80E+17
1.01E+18,18382184
1.01E+18,3103505578
1.01E+18,37190669
1.01E+18,115105973
1.01E+18,16247383
1.01E+18,17756893
1.01E+18,2437126435
1.01E+18,247174365
1.01E+18,3000091714
1.01E+18,3257157084
1.01E+18,4011430883
1.01E+18,419688479
1.01E+18,618278504
1.01E+18,1043667150
1.01E+18,1.05E+18
1.01E+18,194871638
1.01E+18,226018201
1.01E+18,2467226497
1.01E+18,2616191454
1.01E+18,3362086994
1.01E+18,3723600863
1.01E+18,7.17E+17
101344552,118735458
101344552,130602317
101344552,14544819
101344552,1.46E+18
101344552,185840775
101344552,25450211
101344552,587591389
101344552,637352404
1013757768,1098552054
1013757768,317598196
1013757768,4318770264
1013757768,448975396
1013757768,516487534
1013757768,7.61E+17
1013757768,7.66E+17
1013757768,919885512
1.01E+18,1360643605
1.01E+18,54646328
101529977,15980503
101529977,22663414
101529977,344257065
101529977,487041931
101529977,611093492
101529977,69034924
101529977,93819415
1017637447,117848878
1017637447,246939630
1017637447,250386727
1017637447,4699964858
1017637447,587536673
1017637447,9.65E+17
1.02E+18,1.08E+18
1.02E+18,169586297
1.02E+18,2962868158
1.02E+18,7429102
1.02E+18,78445977
1.02E+18,1.06E+18
1.02E+18,1113363354
1.02E+18,19170880
1.02E+18,266980765
1.02E+18,337325417
1.02E+18,8.28E+17
101816065,1.00E+18
101816065,218975278
101816065,236487888
101816065,2800581040
101816065,459872442
101915305,1092848149
101915305,1.18E+18
101915305,1.24E+18
101915305,1638144895
101915305,190905093
101915305,307217724
101915305,38224734
101915305,63930382
101915305,832436580
101915305,8.95E+17
102071743,12046642
102071743,12952842
102071743,19778050
102071743,22948692
102071743,23228918
102071743,236511574
102071743,2961639518
102071743,76456274
102157523,253998571
102157523,725866657
102179167,108338444
102179167,18997068
102179167,27532984
102179167,3137618246
102179167,61530243
102179167,9.18E+17
10232022,15420070
10232022,17781471
10232022,18643839
10232022,206283535
10232022,219335586
10232022,7.79E+17
10232022,8083262
10232022,84764215
1.02E+18,1.06E+18
1.02E+18,1.08E+18
1.02E+18,1631407460
1.02E+18,365724948
1.02E+18,95144774
1.02E+18,1.16E+18
1.02E+18,466532637
1.03E+18,2363460824
1.03E+18,8.65E+17
10252962,16374678
10252962,17379685
10252962,24928809
10252962,9648652
1.03E+18,1.23E+18
1.03E+18,427077240
1.03E+18,582377327
1.03E+18,7.61E+17
1.03E+18,8.95E+17
102595595,15033845
102595595,19877186
102595595,20711389
102595595,262799542
102595595,28061932
102595595,37045017
102595595,9942272
1.03E+18,11347122
1.03E+18,16374678
102807848,15245653
102807848,16548412
102807848,22304657
102807848,6931262
103016675,153503737
103016675,158072303
103016675,22803302
103016675,36607254
103016675,377419742
103016675,445828814
103024643,101529977
103024643,15980503
103024643,22663414
103024643,42901835
103024643,544713120
103057111,17452463
103057111,31319241
103057111,3288705094
103057111,8.39E+17
1.03E+18,1375007264
1.03E+18,37228652
1.03E+18,764347046
1.03E+18,963136322
1033211881,14085040
1033211881,23852881
1033211881,26297929
1033211881,267472795
1033211881,360151488
1033211881,419083835
1033211881,62575859
1.03E+18,14933101
1.03E+18,16105846
1.03E+18,25972839
1.03E+18,29528215
1.03E+18,295711337
1.03E+18,2869858477
1.03E+18,8.02E+17
1.03E+18,8.26E+17
1.04E+18,1.23E+18
1.04E+18,1.26E+18
1.04E+18,31427142
1.04E+18,38953382
1.04E+18,169407655
1.04E+18,1869115328
1.04E+18,19227096
1.04E+18,2256741062
1.04E+18,7.85E+17
1.04E+18,119798543
1.04E+18,25290144
1.04E+18,350249267
1.04E+18,39557806
1.04E+18,1.06E+18
1.04E+18,3047392319
1.04E+18,3082383264
1.04E+18,464694427
1.04E+18,475275997
1.04E+18,835541664
104198706,1.02E+18
104198706,117118416
104198706,1394875741
104198706,14617155
104198706,16451101
104198706,21907792
104198706,22192337
104198706,236968152
104198706,370859141
1042843933,1.07E+18
1042843933,1.14E+18
1042843933,1.26E+18
1042843933,3026530234
1042843933,32441880
1042843933,3246889633
1042843933,339065381
1042843933,7.20E+17
1042843933,7.84E+17
104351395,1.08E+18
104351395,1134116220
104351395,14184699
104351395,15221589
104351395,17975974
104351395,181615746
104351395,222435798
104351395,315779591
1045110787,1.01E+18
1045110787,1.21E+18
1045110787,1.24E+18
1045110787,1640929196
1045110787,19568591
1045110787,255812611
1045110787,7.38E+17
1045110787,942156122
1.05E+18,1.26E+18
1.05E+18,14124402
1.05E+18,14579710
1.05E+18,18048681
1.05E+18,31490951
1.05E+18,33548687
1.05E+18,34779125
1.05E+18,39033058
1.05E+18,56566321
1.05E+18,9.61E+17
104691452,115105973
104691452,15791186
104691452,16247383
104691452,27583598
104691452,8940342
104914594,14515799
104914594,21252618
104914594,22129280
104914594,39155029
104914594,46817943
104914594,71294756
105050227,1.07E+18
105050227,1.08E+18
105050227,1.15E+18
105050227,1.28E+18
105050227,15987376
105050227,42972034
1050774624,2416067982
1050774624,413916151
1050774624,9.40E+17
105327432,20764031
105327432,429531188
105327432,57362322
